order_id,restaurant_name,city,order_time,delivery_time,order_value,rating,distance_km,traffic_level,payment_mode,customer_type,prep_time_min,expected_time_min,delivery_duration_min,delivery_status
1,Royal Kitchen,Pune,2024-04-05 13:14:00,2024-04-05 13:52:00,479,4.9,5.1,Low,Cash,Premium,13,33,38,Late
2,Quick Eats,Pune,2024-04-01 11:13:00,2024-04-01 12:03:00,201,4.3,9.1,Low,Wallet,New,10,46,50,Late
3,Royal Kitchen,Hyderabad,2024-04-08 19:17:00,2024-04-08 19:47:00,316,3.5,2.7,Low,Wallet,New,15,25,30,Late
4,Tasty Bites,Delhi,2024-04-13 15:06:00,2024-04-13 15:34:00,283,4.8,1.6,Low,UPI,New,22,28,28,On-time
5,Tasty Bites,Hyderabad,2024-04-12 17:34:00,2024-04-12 18:26:00,382,4.5,7.6,Low,Card,New,22,52,52,On-time
6,Tasty Bites,Hyderabad,2024-04-04 21:04:00,2024-04-04 21:27:00,140,4.9,1.2,Low,Card,Premium,17,21,23,Late
7,Food Palace,Pune,2024-04-08 20:53:00,2024-04-08 21:55:00,281,3.6,10.2,Medium,Wallet,Returning,15,55,62,Late
8,Food Palace,Delhi,2024-04-11 12:34:00,2024-04-11 13:15:00,336,3.5,3.0,High,Cash,Premium,17,29,41,Late
9,Urban Food,Delhi,2024-04-06 23:49:00,2024-04-07 00:23:00,512,4.1,4.3,Low,UPI,Premium,17,34,34,On-time
10,Tasty Bites,Bangalore,2024-04-04 19:56:00,2024-04-04 20:52:00,435,3.7,5.8,High,Card,New,20,43,56,Late
11,Urban Food,Bangalore,2024-04-05 12:15:00,2024-04-05 13:22:00,319,3.5,7.7,High,Wallet,New,18,48,67,Late
12,Quick Eats,Bangalore,2024-04-03 18:31:00,2024-04-03 18:58:00,178,3.9,4.2,Low,Card,New,11,27,27,On-time
13,Royal Kitchen,Mumbai,2024-04-02 16:24:00,2024-04-02 17:30:00,228,4.6,6.0,High,Wallet,Premium,24,48,66,Late
14,Quick Eats,Pune,2024-04-15 18:48:00,2024-04-15 19:25:00,250,4.1,3.2,Medium,Cash,Premium,20,32,37,Late
15,Urban Food,Mumbai,2024-04-12 21:16:00,2024-04-12 22:19:00,567,3.3,7.5,High,Wallet,New,15,45,63,Late
16,Spice Hub,Delhi,2024-04-06 22:10:00,2024-04-06 23:09:00,265,3.5,7.7,High,UPI,New,10,40,59,Late
17,Urban Food,Pune,2024-04-15 23:51:00,2024-04-16 00:19:00,223,4.9,1.7,Medium,Cash,Returning,17,23,28,Late
18,Quick Eats,Pune,2024-04-08 23:04:00,2024-04-09 00:16:00,437,4.7,11.6,High,Cash,Premium,14,60,72,Late
19,Urban Food,Hyderabad,2024-04-09 23:38:00,2024-04-10 00:20:00,486,3.4,4.4,Medium,UPI,Returning,16,33,42,Late
20,Royal Kitchen,Mumbai,2024-04-11 20:23:00,2024-04-11 21:26:00,226,4.0,8.5,Medium,Card,Returning,24,58,63,Late
21,Food Palace,Pune,2024-04-10 18:14:00,2024-04-10 18:50:00,136,4.1,2.3,High,Card,New,17,26,36,Late
22,Royal Kitchen,Pune,2024-04-15 10:55:00,2024-04-15 11:21:00,221,4.8,1.4,Medium,UPI,New,12,17,26,Late
23,Tasty Bites,Bangalore,2024-04-03 21:59:00,2024-04-03 22:52:00,501,4.4,3.8,High,UPI,Premium,25,40,53,Late
24,Urban Food,Bangalore,2024-04-02 20:27:00,2024-04-02 21:15:00,339,4.1,4.4,Medium,UPI,New,23,40,48,Late
25,Royal Kitchen,Pune,2024-04-07 21:21:00,2024-04-07 22:07:00,197,3.5,7.0,Low,Cash,New,17,45,46,Late
26,Quick Eats,Bangalore,2024-04-03 14:29:00,2024-04-03 15:30:00,513,4.6,11.7,Low,UPI,Returning,12,58,61,Late
27,Quick Eats,Pune,2024-04-09 23:00:00,2024-04-10 00:03:00,308,4.8,11.3,Low,Cash,Premium,17,62,63,Late
28,Urban Food,Bangalore,2024-04-15 10:10:00,2024-04-15 10:58:00,235,4.9,7.6,Medium,UPI,Returning,10,40,48,Late
